"country","naics","industry_name","year","GDP in Current Prices (Millions)","Cost of Capital (Millions)","Cost of ICT Capital (Millions)","Cost of non-ICT Capital (Millions)","Cost of Labour (Millions)","Hours Worked (Millions)","Quantity Index of GDP","Quantity Index of Capital Services","Quantity Index of ICT Capital Services","Quantity Index of Non-ICT Capital","Quantity Index of Labour","Quantity Index of Hours Worked","Total Cost of Capital and Labour (Millions)","Index of Multifactor Productivity","Index of Labour Productivity","Index of Capital Productivity","Index of Capital Intensity","Index of ICT Capital Intensity","Index of non-ICT Capital Intensity","Index of Labour Composition","Contribution of Capital Intensity","Contribution of ICT Capital Intensity","Contribution of non-ICT Capital Intensity","Contribution of Labour Composition"
"United States","21","Mining, oil and gas extraction",1974,27832.4103319423,14391.4265913355,2.46442781063703,14384.0664100154,13592.9880801904,358.194814367553,53.2814205072717,62.930672044533,0.604257596148465,64.8379207566451,109.765646139757,138.515945679078,27984.4146715259,52.254190583285,32.8974228080537,72.4101218470604,45.4320776831965,0.00436236848534713,0.468089940394772,0.792440506409771,68.6683266733731,99.9986552310624,70.2184901307467,91.6820440051998
"United States","21","Mining, oil and gas extraction",1975,32131.3982489158,15788.2754299232,2.52057691978152,15780.3767918749,16617.1951249551,378.224296529142,46.5270272026305,64.8842197122189,0.604257596148465,66.850988973441,115.662137017677,146.05133996253,32405.4705548783,43.7780952566733,27.2449247005799,61.3270495868902,44.4256243926725,0.00413729580504696,0.457722530930505,0.791927941553634,67.9023423283306,99.9982159699916,69.4357713662037,91.6524321700156
"United States","21","Mining, oil and gas extraction",1976,35654.7134713472,17195.8429508368,2.60205411424317,17187.3777954098,18801.6249949637,393.716952592592,47.082620941056,66.9698623310556,0.604257596148465,69.0001707217305,119.459454093029,151.914194338498,35997.4679458004,42.9064220358177,26.5062401883947,60.1266597093695,44.0840058578279,0.00397762433444532,0.454204895218567,0.786361370727787,67.6499277689697,99.9979206618575,69.1779387384628,91.3184416337304
"United States","21","Mining, oil and gas extraction",1977,41323.3070397949,19918.5936454481,2.72530476700452,19909.0656578253,21803.2915259381,424.671920283897,48.05848939732,69.1968814328457,0.604257596148465,71.2950148739786,128.677579330071,163.412424778284,41721.8851713862,41.4745177917293,25.1519056099346,59.3976751322638,42.3449327838633,0.00369774573119709,0.436288825471568,0.787440609272269,66.3620616787719,99.9974186806889,67.8617570205172,91.3838980644529
"United States","21","Mining, oil and gas extraction",1978,47344.1384502087,21678.9533101902,4.34714107788141,21667.2559957237,26258.1098595069,451.726973905336,48.343956373362,72.3749530856201,0.604257596148465,74.5700935608639,136.023949277705,173.520058023954,47937.0631696972,39.6628670928581,23.8274934165939,57.1267802456681,41.7098483655583,0.00348235012729795,0.429749127622868,0.783909081328955,65.8975540016025,99.9969505539281,67.3872629933839,91.1643330155462
"United States","21","Mining, oil and gas extraction",1979,55651.705425088,25454.1870044862,17.747191977799,25428.3014260711,30897.9206021143,487.200992160784,40.5745933238225,76.3015694593141,1.21000964282818,78.5837812956033,146.588877511043,186.632259134019,56352.1076066005,31.1976900761554,18.5931646702337,45.478544562663,40.8833766538306,0.00648338957285667,0.421062155386401,0.785442335592043,65.3041606608325,100.009556283998,66.7686386870562,91.2620088744794
"United States","21","Mining, oil and gas extraction",1980,85551.6394730382,43032.7363524002,81.5758379017904,42939.4077732094,43129.8136907862,535.591978148954,40.242442678556,80.2301244068904,2.00300368065711,82.5702461635435,160.330009715258,204.354685954841,86162.5500431863,28.8254217749578,16.8416867943644,42.8975729659538,39.2602322927011,0.00980160386975292,0.404053598172886,0.784567326979174,64.0580571995099,100.035635382974,65.4742045112171,91.2086763073412
"United States","21","Mining, oil and gas extraction",1981,114478.235441726,55694.9155460734,265.075173134302,55420.8332454549,59826.1184794708,604.852539436901,36.9427925492654,85.8274338213295,3.48089022868769,88.1464293828185,180.038134327607,229.277460069254,115521.034025544,24.1327969405099,13.7801584828826,36.812002825161,37.4338732622932,0.0151819992581751,0.384453096070559,0.78524131536186,62.5778300918316,100.106601269639,63.9011821777501,91.2485672239565
"United States","21","Mining, oil and gas extraction",1982,111727.782505523,53322.4442293454,427.183760073223,52893.3816453562,59546.5340525185,574.049959150958,35.2216146607034,92.7359385100716,5.15178864519629,95.0110397152116,181.270445898261,217.290778904863,112868.978281864,22.0948856431135,13.8628912973567,32.4823201907742,42.6782668723713,0.0237091913019094,0.437252975915792,0.834229813210931,66.6188933054694,100.242332551421,67.9220678196853,94.1812924429105
"United States","21","Mining, oil and gas extraction",1983,96785.7783051033,56955.4166034851,453.185756393825,56500.1033217195,39534.2571658208,476.905122211113,34.9346674271571,97.5828710464652,6.14820602442683,99.8802137375532,151.964883711853,177.091814264794,96489.6737693059,23.1672011130381,16.8711225115935,30.6174399484419,55.1029822872307,0.0347176183718678,0.564002430898407,0.858113540384365,76.3063318489591,100.404591371874,77.6747529282301,95.4354736854635
